Sub Standardize ID,Sub Name,Sub Country,Sub State,Parent Standardized ID,Parent Name,tap_industry, 3 Year Stock Spend ,Propoensity to Buy, Estimated Avg. Stock , Est. Low Spend , Est. High Spend , Sales Estimated ASV ,Country,Named,DME Rep,NA Stock ARR,How Many Past Opps,Most Recent Opp
13335,Nationwide,US,OH,13335,Nationwide,Insurance," $29,700.00 ",*****," $48,701.79 "," $28,481.97 "," $83,279.00 ",,US,Named,Bill Partridge,"$9,900",2,DR2024080
738,Discover Products Incorporated,US,IL,12949,Discover Financial Services (DFS),Financial Services," $150,000.00 ",*****," $33,163.00 "," $13,689.10 "," $81,183.48 ",,US,Named,Bill Partridge,$0,0,GREEN
22108,Martha Stewart,US,NY,3271,Meredith Corporation,Media & Entertainment, $-   ,*," $37,622.20 "," $17,730.26 "," $80,603.57 ",,US,Named,Keith Trudeau,$0,0,GREEN
11579,New York Post,US,NY,2740,News Corporation,Media & Entertainment, $-   ,*," $39,924.64 "," $20,084.40 "," $80,063.39 ",,US,Named,PH USER AMERICAS 91700552,$0,0,GREEN
268560,MapMyFitness,US,TX,1922,Under Armour,Technology Software & Services, $-   ,*," $36,387.63 "," $17,038.27 "," $78,178.38 ",,US,Named,Steven Colon,$0,0,GREEN
20542,DB Servicing,US,IL,12949,Discover Financial Services (DFS),Financial Services, $-   ,*," $31,842.54 "," $13,309.15 "," $77,314.77 ",,US,Named,Bill Partridge,$0,0,GREEN
12704,PC Magazine,US,NY,18729,J2 Global,Media & Entertainment, $-   ,*," $39,609.78 "," $20,565.70 "," $76,880.02 ",,US,Named,PH USER AMERICAS 91700552,$0,0,GREEN
23300,Hughes Network Systems,US,MD,23300,Hughes Network Systems,Professional & Technical Services, $-   ,*," $33,629.78 "," $14,992.40 "," $76,362.45 ",,US,Named,Keith Trudeau,$0,0,GREEN
14637,International Data Group (IDG),DE,MŸnchen,14637,International Data Group (IDG),Media & Entertainment," $5,149.00 ",*****," $42,903.75 "," $24,190.19 "," $76,187.96 ",,US,Named,Zach Fisher,$0,0,GREEN
16014,Miami Herald Publishing,US,FL,17230,McClatchy,Media & Entertainment, $-   ,*," $35,788.48 "," $16,992.33 "," $76,044.27 ",,US,Named,Zach Fisher,$0,0,GREEN
14913,Mylowes.com,US,NC,11773,Lowe's Companies,Retail, $-   ,*," $31,727.37 "," $13,619.50 "," $74,505.48 ",,US,Named,Michael DeCosta,$0,0,GREEN
4665,Fleishman-Hillard,CA,ON,8339,Omnicom,Advertising, $-   ,*," $34,783.30 "," $16,530.65 "," $74,443.13 ",,US,Named,Leslie Richmond,$0,0,GREEN
15903,Bright House Networks,US,FL,24485,Charter Communications,Telecommunications, $-   ,****," $38,534.44 "," $20,225.36 "," $74,127.82 ",,US,Named,Zach Fisher,$0,0,GREEN
929,Harland Clarke,US,TX,14565,MacAndrews & Forbes,Professional & Technical Services, $-   ,****," $39,367.21 "," $21,092.65 "," $74,035.32 ",,US,Named,Zach Fisher,$0,0,GREEN
4753,Kroger,US,OH,4753,Kroger,Retail," $4,624.00 ",*****," $39,525.59 "," $21,342.82 "," $73,456.26 ",,US,Named,Bill Partridge,$0,1,DR2160134
13700,Jones Lang LaSalle (JLL),US,IL,13700,Jones Lang LaSalle (JLL),"Real Estate, Rental & Leasing"," $31,146.00 ",*****," $42,114.00 "," $24,183.50 "," $73,340.42 ",,US,Named,Bill Partridge,$0,2,DR1853785
14228,Sporting News,US,NC,538,Advance Publications,Media & Entertainment, $-   ,*," $34,743.27 "," $16,696.42 "," $72,958.45 ",,US,Named,PH USER AMERICAS 91700552,$0,0,GREEN
